Text,Complexity,Start Time,End Time
[audience cheering],-6.7,00:01:33,548,00:01:34,799
Whatever.,-47.99,00:01:47,896,00:01:49,189
[electronic dance music continues],8.2,00:01:49,272,00:01:51,274
[lively dramatic music playing],8.2,00:15:59,984,00:16:01,986
Miserable bastard.,-6.7,00:25:59,949,00:26:01,409
[electricity crackling],-49.0,00:26:59,716,00:27:01,343
Quite innovative.,-6.7,00:28:41,066,00:28:42,442
[singing incoherently],-49.0,00:30:17,870,00:30:19,705
[explosion],-47.99,00:41:58,475,00:41:59,476
<i>Recruited in Johannesburg by Interpol</i>,-1.29,00:42:32,301,00:42:34,636
Fantastic...,-47.99,00:59:37,017,00:59:37,934
None whatsoever.,-6.7,01:07:45,539,01:07:46,706
Congenital insensitivity to pain.,-51.03,01:07:48,124,01:07:51,127
[defecating intensely],-49.0,01:12:01,958,01:12:03,960
[continues mumbling],-6.7,01:15:09,226,01:15:11,228
<i>Oyumi. Bollocks!</i>,-6.7,01:16:00,651,01:16:03,487
Disappointing.,-132.59,01:19:49,334,01:19:50,168
