Text,Complexity,Start Time,End Time
[rumbling continues],-6.7,00:00:56,376,00:00:59,629
[woman screaming indistinctly],-24.64,00:02:04,066,00:02:06,068
[repeated slapping],-6.7,00:02:11,490,00:02:13,159
[ethereal music continues],-24.64,00:07:47,230,00:07:50,233
- [elevator chimes] - [ethereal music continues],-18.21,00:09:01,427,00:09:04,430
[footsteps approaching],-6.7,00:13:34,273,00:13:36,275
[footsteps approaching],-6.7,00:14:13,520,00:14:15,522
[music intensifying],-91.3,00:22:42,386,00:22:45,388
- [music intensifying] - [screaming continues],-51.03,00:23:05,492,00:23:08,495
[dramatic music continues],-24.64,00:26:53,712,00:26:56,715
[ethereal, haunting music playing],8.2,00:27:12,730,00:27:15,733
[unsettling music continues],-24.64,00:28:31,598,00:28:34,600
[unsettling music continues],-24.64,00:29:49,923,00:29:52,926
[intense, unsettling music playing],8.2,00:38:58,953,00:39:01,956
[screeching indistinctly],-49.0,00:41:25,428,00:41:27,430
Eighty-second Airborne Division. Caracas.,-8.73,00:46:22,589,00:46:25,342
your testicles are significantly distended.,-18.21,00:46:57,290,00:47:01,960
completely unused.,-6.7,00:47:41,582,00:47:43,542
[inaudible dialogue],-49.0,00:55:53,390,00:55:55,392
[distorted laughter],-6.7,01:07:22,180,01:07:27,851
[inaudible dialogue],-49.0,01:08:43,133,01:08:45,135
Confident, self-possessed.,-49.0,01:11:27,749,01:11:30,669
[unsettling, pensive music playing],8.2,01:24:07,608,01:24:10,611
{\an8}[sobbing],-47.99,01:34:25,746,01:34:27,748
{\an8}[mechanical whirring],-6.7,01:34:30,292,01:34:34,087
[thrumming continues],-6.7,01:36:29,532,01:36:31,534
[insects chittering],-6.7,01:40:45,237,01:40:47,239
<i>Abandoning all comforts,</i>,-24.64,01:42:47,188,01:42:49,440
[actors speaking indistinctly],-24.64,01:54:13,642,01:54:15,644
[beeping intensifies],-49.0,01:57:19,363,01:57:21,365
[electricity crackling],-49.0,01:58:41,525,01:58:42,985
<i>Mona, who single-handedly built a super-business</i>,6.17,02:04:36,159,02:04:39,704
<i>Upstairs.</i>,-47.99,02:34:22,549,02:34:23,968
