Text,Complexity,Start Time,End Time
Southern hospitality.,-91.3,00:03:54,334,00:03:56,170
Executive.,-132.59,00:07:45,866,00:07:47,268
Extremely.,-47.99,00:14:28,035,00:14:29,671
I appreciate the opportunity.,-34.11,00:19:03,143,00:19:04,444
[commentator continues],-91.3,00:21:03,731,00:21:05,533
Really?,-47.99,00:24:06,147,00:24:07,715
Whatever.,-47.99,00:31:51,044,00:31:52,346
Whatever.,-47.99,00:34:31,773,00:34:33,106
Terrific. Seeing anyone socially?,-8.73,00:35:23,891,00:35:26,761
- Really? - Mm-hmm.,-6.7,00:35:42,710,00:35:44,779
Congratulations.,-217.19,00:37:23,878,00:37:25,213
Barbecue?,-47.99,00:38:54,168,00:38:55,903
[imitating motor],-49.0,00:39:03,678,00:39:06,514
Southern hospitality.,-91.3,00:40:48,049,00:40:49,951
- Southern hospitality. - Mm-hm.,-24.64,00:40:50,084,00:40:52,653
No, actually...,-6.7,00:43:25,306,00:43:27,341
Absolutely.,-132.59,00:44:14,788,00:44:16,123
Rebecca...,-47.99,00:51:13,942,00:51:15,475
Wonderful.,-47.99,00:56:09,036,00:56:10,271
Really?,-47.99,00:57:35,022,00:57:36,924
Blooming gracefully.,-6.7,01:01:18,746,01:01:20,781
and occasionally senile...,-24.64,01:03:22,870,01:03:25,205
Honestly?,-47.99,01:04:07,816,01:04:09,416
[coughing continues],-6.7,01:08:00,080,01:08:03,918
- Really? - Really.,-49.0,01:14:08,549,01:14:10,418
[exhaling],-47.99,01:21:09,470,01:21:11,171
[whimpering],-47.99,01:25:19,721,01:25:22,255
