Text,Complexity,Start Time,End Time
That's fascinating.,-6.7,00:04:17,678,00:04:18,846
BRYCE: <i>"Visually challenged"?</i>,-24.64,00:09:13,057,00:09:14,975
<i>"Visually challenged"?</i>,-91.3,00:09:15,142,00:09:16,477
Without prejudice.,-6.7,00:11:32,654,00:11:33,780
"De-yodeled"?,-47.99,00:21:27,248,00:21:28,291
-Really? -Certainly.,-49.0,00:27:56,179,00:27:57,847
Salmonella.,-132.59,00:30:32,084,00:30:33,169
BRYCE: <i>Another disaster avoided.</i>,8.2,00:49:29,387,00:49:31,598
Julianna.,-47.99,00:53:29,752,00:53:31,462
Nervous energy.,-6.7,00:56:44,322,00:56:46,032
<i>...when reality interrupted.</i>,-50.02,00:57:34,789,00:57:36,207
They've actually been accepted...,8.2,01:03:14,712,01:03:16,255
Really?,-47.99,01:03:18,882,01:03:20,342
<i>...to the highest-bidding females.</i>,8.2,01:08:26,398,01:08:28,025
Welcome, everyone...,-6.7,01:09:09,858,01:09:11,735
...a lovely chicken-salad sandwich...,8.2,01:10:09,918,01:10:12,504
Perpetual what?,-6.7,01:13:32,037,01:13:33,371
STEUBY: Julianna.,-6.7,01:16:58,076,01:16:59,494
Julianna.,-47.99,01:16:59,661,01:17:01,246
TRINA: Julianna?,-6.7,01:20:34,917,01:20:36,586
Julianna.,-47.99,01:20:39,088,01:20:40,673
