Text,Complexity,Start Time,End Time
"Indianapolis.",-132.59,00:04:00,685,00:04:01,954
fiiine,-47.99,00:16:57,660,00:16:59,660
shuffleboard, pinball, online poker?,8.2,00:18:49,729,00:18:51,576
Your biological mother?,-24.64,00:20:26,870,00:20:28,420
devotion,-47.99,00:21:37,160,00:21:38,336
diaper sniffers,-6.7,00:21:45,360,00:21:47,150
"fuuuuck you!",-6.7,00:28:39,880,00:28:42,500
"Whatever happened?",-6.7,00:33:33,130,00:33:34,460
nobody dropping by unexpectedly,-8.73,00:39:44,300,00:39:46,896
familiar,-47.99,00:46:40,340,00:46:41,317
American bullshit,-6.7,00:46:41,341,00:46:43,340
