Text,Complexity,Start Time,End Time
Technical wizardry.,-6.7,00:06:14,584,00:06:15,793
Something terrible.,-6.7,00:18:01,790,00:18:03,000
Daylight. Underneath.,-6.7,00:37:38,966,00:37:40,801
Totally.,-47.99,00:53:01,179,00:53:02,305
Totally.,-47.99,01:16:06,021,01:16:07,898
Flabbergasted that motherfucker.,-50.02,01:16:09,649,01:16:12,486
♪ Sinister purpose,-6.7,01:28:03,404,01:28:05,948
♪ Sinister purpose,-6.7,01:28:37,396,01:28:39,941
♪ Sinister purpose,-6.7,01:29:45,339,01:29:47,925
♪ Mm-mm-mm-mm...,-301.79,01:30:02,607,01:30:05,026
♪ Mm-mm-mm-mm...,-301.79,01:30:06,819,01:30:09,113
♪ Mm-mm-mm-mm... ♪,-301.79,01:30:10,990,01:30:13,284
