Text,Complexity,Start Time,End Time
Unbelievable!,-132.59,00:15:35,840,00:15:36,960
Really?,-47.99,00:18:12,560,00:18:13,560
Superb density.,-6.7,00:19:53,440,00:19:54,920
One big industrious family.,8.2,00:23:59,320,00:24:01,960
and every possible condition.,8.2,00:25:14,440,00:25:17,080
impressive.,-47.99,00:28:44,040,00:28:45,040
You're really considering signing with Royalton.,6.17,00:34:49,560,00:34:51,600
to increase dramatically.,-24.64,00:37:40,720,00:37:42,320
Especially Pops.,-6.7,00:40:30,600,00:40:31,880
they created the modern automotive industry.,6.17,00:43:06,720,00:43:08,800
which immediately blocked Penninsula Power Cell,6.17,00:44:00,600,00:44:02,600
Inspector Detector.,-49.0,00:55:33,040,00:55:34,360
Absolutely not!,-6.7,00:57:15,640,00:57:16,920
<i>Ineptitude!</i>,-47.99,01:11:35,080,01:11:36,480
Some defensive modifications.,-50.02,01:14:28,080,01:14:29,920
Narcolyte benzamine.,-6.7,01:19:03,680,01:19:04,880
Congratulations, Mr. Togokahn.,-24.64,01:30:43,880,01:30:45,920
No, this was a mutually beneficial opportunity.,-3.32,01:30:56,840,01:31:00,960
<i>It's pandemonium!</i>,-91.3,01:57:51,920,01:57:53,560
