Text,Complexity,Start Time,End Time
( yelling ) Cocksucker motherfucker!,-24.64,00:36:22,138,00:36:26,142
( breathing heavily ),-6.7,00:36:37,653,00:36:39,572
Cocksucker Motherfucker!,-91.3,00:37:08,350,00:37:10,853
- How you doing? - Congratulations.,8.2,00:57:38,121,00:57:39,873
Really?,-47.99,01:10:59,713,01:11:01,465
- Really? - <i>Totally.</i>,-49.0,01:13:43,294,01:13:44,962
- <i>Abbondanza! </i> - Trish: Bravo!,8.2,01:20:52,556,01:20:54,891
( vocalizes music ),-6.7,01:21:40,437,01:21:42,314
might be sexually inexperienced.,-34.11,01:26:21,718,01:26:24,054
without intercourse.,-6.7,01:27:03,802,01:27:06,012
Extrapolate that.,-6.7,01:29:32,408,01:29:34,660
- Really? - Uh-huh.,-6.7,01:31:18,514,01:31:20,516
Hmm-hmm-hmm!,-47.99,01:40:15,384,01:40:17,595
( laughing pleasurably ),-6.7,01:42:24,055,01:42:27,432
Really?,-47.99,01:47:49,546,01:47:51,798
♪ Harmony and understanding ♪,-24.64,01:52:06,303,01:52:09,264
♪ Mystic crystal revelations ♪,-24.64,01:52:15,979,01:52:19,065
