Text,Complexity,Start Time,End Time
A misunderstanding.,-49.0,00:06:44,792,00:06:45,958
(Whimpering),-47.99,00:08:55,875,00:08:57,083
hitherto in this particular circumstance?,-1.29,00:10:45,833,00:10:48,417
Exactly.,-47.99,00:21:08,042,00:21:09,458
University-educated chicken swill.,-109.24,00:23:16,333,00:23:18,417
Officer.,-47.99,00:27:22,875,00:27:24,458
Really?,-47.99,00:29:50,792,00:29:52,375
"...arsehole.",-47.99,00:51:48,125,00:51:49,792
- North-by-northwest. - North-by-northwest.,-49.0,01:02:39,958,01:02:42,833
(Overlapping conversations),-91.3,01:06:13,417,01:06:15,250
(Overlapping shouting),-6.7,01:07:40,750,01:07:42,792
(Angry muttering),-6.7,01:13:34,000,01:13:36,542
(Overlapping conversations),-91.3,01:16:33,875,01:16:36,542
'Preciated.,-132.59,01:21:34,125,01:21:35,708
(Overlapping chatter),-6.7,01:32:18,250,01:32:19,875
(Inaudible),-47.99,01:32:22,083,01:32:23,708
